Pot,Treatment,Bed,Row,Col,Plant,Height.cm,Ear.length.cm,Flag.Leaf.Length.cm,Number.of.ears,Number.of.tillers,Number.of.roots,Roots.per.tiller,Root.length.cm
1,G,1,1,1,a,45.5,8.5,15,3,3,34,11.33,24
1,G,1,1,1,b,59,9,14.5,1,2,21,10.5,18
1,G,1,1,1,c,37.5,11.5,18.5,2,2,35,17.5,28
3,F,1,1,3,a,40,8.5,14,1,1,21,21,34
3,F,1,1,3,b,41.5,7,9,1,2,24,12,25
3,F,1,1,3,c,49,7,9.5,1,1,16,16,21
4,A,1,1,4,a,47,8.5,11,1,1,14,14,37
4,A,1,1,4,b,41.5,8.5,13,1,2,19,9.5,36
4,A,1,1,4,c,42,10,16,1,2,27,13.5,23.5
5,C,1,1,5,a,35,5.5,9,1,2,32,16,10.5
5,C,1,1,5,b,12,4,8,1,1,17,17,6.5
5,C,1,1,5,c,16,5,11,1,1,23,23,7
6,E,1,1,6,a,35,11.5,22,3,4,33,8.25,33
6,E,1,1,6,b,41,10.5,20,2,3,27,9,30.5
6,E,1,1,6,c,37.5,10,18.5,2,3,28,9.33,23
7,B,1,1,7,a,39,11.5,20,1,3,37,12.33,37
7,B,1,1,7,b,43,9,13,1,1,23,23,19.5
7,B,1,1,7,c,34.5,7,9,2,1,28,28,13.5
8,A,2,1,1,a,46.5,6.5,11,1,1,15,15,29.5
8,A,2,1,1,b,44.5,11,19.5,2,3,35,11.67,31.5
8,A,2,1,1,c,54.5,7,10,1,1,17,17,31.5
9,E,2,1,2,a,44.5,9.5,17,2,2,29,14.5,24
9,E,2,1,2,b,44,11,21,2,4,30,7.5,41
9,E,2,1,2,c,48.5,9,15.5,2,5,40,8,27
10,G,2,1,3,a,51,11,15,1,2,31,15.5,18.5
10,G,2,1,3,b,57.5,10,13.5,2,2,30,15,32
10,G,2,1,3,c,52.5,8.5,17,2,2,21,10.5,28
11,B,2,1,4,a,40,7,9.5,1,1,21,21,20
11,B,2,1,4,b,46,9.5,10.5,1,2,33,16.5,26
11,B,2,1,4,c,NA,NA,NA,NA,1,11,11,5
13,F,2,1,6,a,48,10,18,1,3,39,13,38
13,F,2,1,6,b,NA,NA,NA,NA,NA,NA,NA,NA
13,F,2,1,6,c,52,8,11.5,1,2,41,20.5,26
14,C,2,1,7,a,27,11,19,3,3,45,15,29
14,C,2,1,7,b,NA,NA,9,0,1,15,15,11.5
14,C,2,1,7,c,NA,NA,NA,NA,1,25,25,9.5
15,F,1,2,1,a,43.5,7,11,1,2,37,18.5,16.5
15,F,1,2,1,b,47,8,12,1,2,29,14.5,19
15,F,1,2,1,c,NA,NA,5,0,NA,NA,NA,NA
16,C,1,2,2,a,34,7,11.5,1,1,21,21,22
16,C,1,2,2,b,50,8.5,12,2,2,30,15,29
16,C,1,2,2,c,43,6,10.5,1,1,18,18,42
17,E,1,2,3,a,34.5,8,11.5,2,2,22,11,39.5
17,E,1,2,3,b,52,9,10.5,1,2,15,7.5,37
17,E,1,2,3,c,51,11,16,2,2,27,13.5,27
18,G,1,2,4,a,47.5,9,14,3,3,30,10,33
18,G,1,2,4,b,32,8,12.5,1,1,28,28,22.5
18,G,1,2,4,c,NA,NA,NA,NA,1,21,21,11.5
19,B,1,2,5,a,38.5,8.5,14.5,3,3,51,17,28
19,B,1,2,5,b,27,5,14,1,1,21,21,10.5
19,B,1,2,5,c,NA,NA,NA,NA,1,12,12,6
21,A,1,2,7,a,39,8,10.5,1,1,21,21,34
21,A,1,2,7,b,38,6,11,1,1,18,18,23.5
21,A,1,2,7,c,28,8.5,12.5,1,2,20,10,35
22,C,2,2,1,a,NA,NA,NA,NA,1,17,17,6
22,C,2,2,1,b,32,5.5,10,1,1,18,18,23
22,C,2,2,1,c,46.5,10,14.5,1,1,22,22,32.5
23,G,2,2,2,a,25,8.5,19.5,1,1,18,18,27
23,G,2,2,2,b,44.5,7.5,14.5,1,2,27,13.5,28.5
23,G,2,2,2,c,53,10,14,2,2,26,13,24
24,B,2,2,3,a,49.5,11.5,18,2,2,31,15.5,28.5
24,B,2,2,3,b,50.5,11,15.5,1,3,44,14.67,36
24,B,2,2,3,c,51,8,13.5,1,2,28,14,15
26,F,2,2,5,a,28,5,9,1,1,20,20,7.5
26,F,2,2,5,b,40,9,12,1,2,28,14,54
26,F,2,2,5,c,30,17.5,14,1,2,21,10.5,26.5
27,A,2,2,6,a,52.5,10.5,12,1,4,33,8.25,17.5
27,A,2,2,6,b,53,8.5,11.5,1,2,20,10,39
27,A,2,2,6,c,51.5,10.5,12.5,1,3,28,9.33,28.5
28,E,2,2,7,a,46.5,11.5,12,2,2,24,12,23
28,E,2,2,7,b,53,8,8.5,2,2,30,15,35.5
28,E,2,2,7,c,47.5,9.5,10.5,1,1,21,21,24.5
29,B,1,3,1,a,31,8,10,1,1,24,24,14.5
29,B,1,3,1,b,NA,NA,6,0,1,18,18,16.5
29,B,1,3,1,c,NA,NA,NA,NA,2,26,13,25.5
30,F,1,3,2,a,40.5,6.5,10,1,1,15,15,35.5
30,F,1,3,2,b,52.5,7,9.5,1,1,18,18,27.5
30,F,1,3,2,c,40,7.5,12,1,1,25,25,24.5
31,A,1,3,3,a,47,8,12,1,1,22,22,23
31,A,1,3,3,b,59,7.5,9.5,1,1,22,22,24
31,A,1,3,3,c,50.5,7,10,1,1,24,24,34.5
32,C,1,3,4,a,40,9.5,15,1,2,24,12,28
32,C,1,3,4,b,33,7.5,12.5,1,2,24,12,14.5
32,C,1,3,4,c,26.5,7,11.5,1,1,26,26,23
33,E,1,3,5,a,42.5,9.5,14.5,1,2,29,14.5,32
33,E,1,3,5,b,52.5,8.5,13,3,3,26,8.67,35
33,E,1,3,5,c,44,8.5,12.5,2,2,29,14.5,34
34,G,1,3,6,a,49,9.5,14.5,1,3,30,10,21
34,G,1,3,6,b,34.5,8.5,13.5,1,2,22,11,35
34,G,1,3,6,c,36,8,11.5,1,1,15,15,29.5
37,A,2,3,2,a,50.5,8,12,1,1,16,16,32.5
37,A,2,3,2,b,52.5,8.5,12,2,2,25,12.5,33
37,A,2,3,2,c,44.5,11.5,14,1,1,18,18,27
38,C,2,3,3,a,30.5,4.5,10,1,1,21,21,15
38,C,2,3,3,b,44,9,15,1,2,28,14,34.5
38,C,2,3,3,c,34.5,8.5,12,1,1,22,22,13.5
39,E,2,3,4,a,47.5,8,9,1,1,19,19,34
39,E,2,3,4,b,39.5,9.5,14,2,2,24,12,29
39,E,2,3,4,c,44,9.5,13,1,2,31,15.5,20.5
40,G,2,3,5,a,42.5,6,10,1,1,20,20,30.5
40,G,2,3,5,b,45.5,9,14,1,2,30,15,21.5
40,G,2,3,5,c,28,9,16,1,2,29,14.5,29
41,B,2,3,6,a,45,11,11,1,1,26,26,21
41,B,2,3,6,b,42.5,7.5,14.5,2,3,32,10.67,27
41,B,2,3,6,c,37,10.5,14,1,1,25,25,22.5
42,F,2,3,7,a,44,8,12,1,1,22,22,14
42,F,2,3,7,b,38.5,8,12.5,1,2,24,12,25.5
42,F,2,3,7,c,41.5,8.5,12,1,1,17,17,18
